sample	url
ENCFF128LJM	https://www.encodeproject.org/files/ENCFF128LJM/@@download/ENCFF128LJM.fastq.gz
ENCFF096PID	https://www.encodeproject.org/files/ENCFF096PID/@@download/ENCFF096PID.fastq.gz
ENCFF529CRN	https://www.encodeproject.org/files/ENCFF529CRN/@@download/ENCFF529CRN.fastq.gz
ENCFF497EYP	https://www.encodeproject.org/files/ENCFF497EYP/@@download/ENCFF497EYP.fastq.gz
ENCFF893KFG	https://www.encodeproject.org/files/ENCFF893KFG/@@download/ENCFF893KFG.fastq.gz
ENCFF402MVG	https://www.encodeproject.org/files/ENCFF402MVG/@@download/ENCFF402MVG.fastq.gz
ENCFF656GCJ	https://www.encodeproject.org/files/ENCFF656GCJ/@@download/ENCFF656GCJ.fastq.gz
ENCFF248GRO	https://www.encodeproject.org/files/ENCFF248GRO/@@download/ENCFF248GRO.fastq.gz
ENCFF906YOC	https://www.encodeproject.org/files/ENCFF906YOC/@@download/ENCFF906YOC.fastq.gz
ENCFF077QGG	https://www.encodeproject.org/files/ENCFF077QGG/@@download/ENCFF077QGG.fastq.gz
ENCFF622ZJZ	https://www.encodeproject.org/files/ENCFF622ZJZ/@@download/ENCFF622ZJZ.fastq.gz
ENCFF307IXW	https://www.encodeproject.org/files/ENCFF307IXW/@@download/ENCFF307IXW.fastq.gz
ENCFF002CAN	https://www.encodeproject.org/files/ENCFF002CAN/@@download/ENCFF002CAN.fastq.gz
ENCFF228TQK	https://www.encodeproject.org/files/ENCFF228TQK/@@download/ENCFF228TQK.fastq.gz
ENCFF002CBH	https://www.encodeproject.org/files/ENCFF002CBH/@@download/ENCFF002CBH.fastq.gz
ENCFF813XBJ	https://www.encodeproject.org/files/ENCFF813XBJ/@@download/ENCFF813XBJ.fastq.gz
ENCFF628SKZ	https://www.encodeproject.org/files/ENCFF628SKZ/@@download/ENCFF628SKZ.fastq.gz
ENCFF769DTH	https://www.encodeproject.org/files/ENCFF769DTH/@@download/ENCFF769DTH.fastq.gz
ENCFF451OPE	https://www.encodeproject.org/files/ENCFF451OPE/@@download/ENCFF451OPE.fastq.gz
ENCFF377HLA	https://www.encodeproject.org/files/ENCFF377HLA/@@download/ENCFF377HLA.fastq.gz
ENCFF690FYM	https://www.encodeproject.org/files/ENCFF690FYM/@@download/ENCFF690FYM.fastq.gz
ENCFF002BYS	https://www.encodeproject.org/files/ENCFF002BYS/@@download/ENCFF002BYS.fastq.gz
ENCFF029XLP	https://www.encodeproject.org/files/ENCFF029XLP/@@download/ENCFF029XLP.fastq.gz
ENCFF927CUY	https://www.encodeproject.org/files/ENCFF927CUY/@@download/ENCFF927CUY.fastq.gz
