mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
K562_EIF2S1	ENCSR913CAE	78942	5644	646	47	0.0252016743898	83205.6777512	0.0
K562_FMR1	ENCSR424QCW	74677	4795	1139	67	-0.126401590283	77078.3086141	0.0
K562_LARP7	ENCSR572FFX	75878	5110	736	55	0.150084213741	79413.7310155	0.0
HepG2_NKRF	ENCSR246RRQ	85640	6095	836	48	-0.309809961594	89975.5388742	0.0
K562_HNRNPU	ENCSR438MDN	81058	5853	772	63	0.176529281664	85249.0306762	0.0
HepG2_MAGOH	ENCSR237YZT	84381	5951	2282	104	-0.629929196012	85623.531924	0.0
HepG2_MATR3	ENCSR237YZT	84982	6002	1628	107	-0.103775924907	87547.0951235	0.0
K562_DDX55	ENCSR572FFX	73608	4917	816	47	-0.213824178126	76808.4952309	0.0
C4-2B_ZFX	ENCSR142YZV	91581	6595	395	23	-0.306543133286	97341.7838954	0.0
HepG2_SUPT6H	ENCSR067GHD	83600	5966	847	66	0.126843019547	87749.3115848	0.0
K562_RBFOX2	ENCSR667PLJ	73630	5325	711	42	-0.291948055781	77456.1969609	0.0
HepG2_PCBP1	ENCSR603TCV	84957	5959	1496	126	0.263976133669	87701.0071318	0.0
K562_RCC2	ENCSR572FFX	73995	5139	853	40	-0.566605605633	77358.1445631	0.0
K562_EXOSC9	ENCSR815CVQ	79971	5730	779	33	-0.758215514563	84084.7783156	0.0
HepG2_SLBP	ENCSR042QTH	85559	5852	978	63	-0.0864927854303	89340.8574627	0.0
K562_MAK16	ENCSR143COQ	81493	5985	1238	51	-0.83411726796	84919.2416496	0.0
HepG2_SBDS	ENCSR279HMU	82811	5596	821	51	-0.121458520042	86671.6043067	0.0
K562_UTP18	ENCSR143COQ	80113	5908	2278	91	-0.884462753827	81349.1762147	0.0
K562_CPSF7	ENCSR667PLJ	73799	5270	646	48	0.057298546492	77687.0919566	0.0
K562_SND1	ENCSR084SCN	74504	4237	591	29	-0.212830475233	77505.8865734	0.0
HepG2_DDX21	ENCSR003EKR	85053	5817	474	27	-0.263840832308	89870.7669223	0.0
HepG2_HNRNPA1	ENCSR305XWT	81124	5219	985	59	-0.103053382657	84267.6267636	0.0
HepG2_FAM120A	ENCSR689PHN	81748	5702	781	53	-0.0396147930798	85789.9541133	0.0
