mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_DDX6	ENCSR237YZT	86916	3270	1365	47	-0.127837143831	87384.1126123	0.0
HepG2_KIF1C	ENCSR538QOG	89256	3390	660	24	-0.0627677382152	91283.0502557	0.0
HepG2_DDX47	ENCSR968BBQ	88040	3360	729	29	0.0598319979134	89890.2866561	0.0
HepG2_HNRNPU	ENCSR305XWT	84714	2912	1652	39	-0.542077601364	84276.737823	0.0
HepG2_GEMIN5	ENCSR689PHN	83686	3047	1057	42	0.126082647853	84548.9294188	0.0
K562_NUFIP2	ENCSR174OYC	82900	3087	661	23	-0.0978497917953	84624.4418222	0.0
HepG2_PRPF6	ENCSR491FOC	87398	3003	732	25	-0.00871976278538	88893.3389749	0.0
K562_PUM1	ENCSR620PUP	87970	3260	1112	37	-0.155419964622	88946.476367	0.0
HepG2_RBM34	ENCSR491FOC	86713	2942	599	29	0.51294794892	88403.4236594	0.0
K562_NOL12	ENCSR620PUP	87507	3263	1000	35	-0.0913737323277	88711.8030786	0.0
HepG2_FMR1	ENCSR042QTH	88514	3168	718	23	-0.160016658206	90205.9911909	0.0
K562_SF1	ENCSR898NWE	78881	2439	792	26	0.0863992761591	79692.2291918	0.0
K562_DDX3X	ENCSR913CAE	80450	2984	697	25	-0.0483856758508	81996.2480955	0.0
K562_HNRNPC	ENCSR572FFX	78968	2818	1425	70	0.461061448346	78823.4533518	0.0
K562_FTO	ENCSR424QCW	76206	2561	1029	26	-0.41146211552	76671.1584165	0.0
MCF-7_ZFX	ENCSR783OQM	96024	3673	288	8	-0.461560768107	99105.8812085	0.0
HepG2_APOBEC3C	ENCSR279HMU	85898	3067	868	22	-0.494395144658	87193.9289561	0.0
HepG2_SUPV3L1	ENCSR856ZRV	86656	3117	1072	48	0.315942894213	87547.0006198	0.0
K562_ABCF1	ENCSR032YMP	82006	2892	944	40	0.264875057044	82941.4199674	0.0
HepG2_CNOT7	ENCSR279HMU	84475	2974	1222	39	-0.14157845807	84945.1886624	0.0
HepG2_STAU1	ENCSR067GHD	86895	3280	788	25	-0.250690183907	88556.3364605	0.0
HepG2_TRA2A	ENCSR491FOC	87373	3050	697	25	0.0391477231658	88984.7650911	0.0
HepG2_PES1	ENCSR538QOG	89346	3406	683	22	-0.243057348197	91347.3632537	0.0
K562_RPS19	ENCSR661HEL	77803	2688	1484	68	0.407408206453	77417.025779	0.0
HepG2_RECQL	ENCSR603TCV	88800	3295	932	30	-0.205086242816	90181.0549429	0.0
HepG2_NELFE	ENCSR603TCV	88627	3272	1114	43	0.0642328632474	89599.5675575	0.0
HepG2_SF3B4	ENCSR603TCV	87879	3261	1783	53	-0.320038426241	87505.0371452	0.0
HepG2_EIF4A3	ENCSR237YZT	87513	3201	1730	54	-0.22876605807	87181.1104557	0.0
K562_RRP9	ENCSR661HEL	78483	2711	754	21	-0.310620119382	79651.4064814	0.0
HepG2_HDGF	ENCSR538QOG	89568	3409	682	21	-0.305747618812	91576.3223342	0.0
K562_PTBP1	ENCSR129RWD	82402	2846	640	19	-0.218328794567	83935.0975978	0.0
K562_AGGF1	ENCSR143COQ	80540	3082	2519	61	-0.660131363853	78541.9925452	0.0
K562_SRSF4	ENCSR772DUM	77027	2627	1179	42	0.0628455514291	77230.717641	0.0
HepG2_RBM15	ENCSR585KOJ	89109	3339	899	28	-0.266739230811	90603.304603	0.0
HepG2_UPF2	ENCSR856ZRV	84450	3073	489	8	-1.15331290397	86531.8523363	0.0
K562_PSIP1	ENCSR572FFX	77299	2843	1040	31	-0.303207756324	78014.3304423	0.0
K562_FKBP4	ENCSR572FFX	75637	2548	888	29	-0.0447799113048	76361.7554366	0.0
HepG2_CKAP4	ENCSR538QOG	88655	3329	1379	58	0.163615477131	89132.460415	0.0
K562_EIF4B	ENCSR913CAE	79870	2981	653	18	-0.437228746862	81514.4474764	0.0
K562_TFIP11	ENCSR661HEL	78143	2727	757	33	0.32097466732	79297.7326775	0.0
HepG2_DDX27	ENCSR856ZRV	87466	3112	362	10	-0.365109439704	89835.5303616	0.0
HepG2_NAA15	ENCSR067GHD	86215	3195	811	34	0.177955797243	87727.9906618	0.0
HepG2_FKBP4	ENCSR856ZRV	86873	3081	522	20	0.111459370046	88873.2664067	0.0
HepG2_LARP7	ENCSR674KEK	87561	3103	796	27	-0.0631842892896	89025.4712149	0.0
HepG2_AGGF1	ENCSR853AOV	84632	2993	816	20	-0.528958170615	85961.0013075	0.0
HepG2_SFPQ	ENCSR104ABF	81304	2868	1347	41	-0.212772728137	81418.9024786	0.0
K562_CPSF6	ENCSR424QCW	77225	2606	1156	31	-0.33157039528	77474.6732124	0.0
K562_HNRNPF	ENCSR163JUC	84151	3146	466	23	0.400765651316	86321.7487017	0.0
HepG2_RBM14	ENCSR521WAI	81673	2703	826	32	0.227227833124	82668.7325905	0.0
HepG2_TRIM56	ENCSR305XWT	84958	2929	1068	38	0.0455012874208	85688.9187408	0.0
HepG2_CSTF2	ENCSR856ZRV	82843	2892	439	16	0.0621632119951	84827.4148602	0.0
HepG2_NPM1	ENCSR104ABF	81826	2817	1231	43	0.0209775680246	82114.1756813	0.0
K562_LSM11	ENCSR572FFX	78181	2843	709	28	0.119045138704	79556.705473	0.0
HepG2_GPKOW	ENCSR264TUE	85240	3117	1342	57	0.216021591009	85581.1705042	0.0
HepG2_U2AF1	ENCSR067GHD	84124	3093	3727	140	0.0309226248763	79654.4565821	0.0
K562_FIP1L1	ENCSR032YMP	79234	2830	952	29	-0.229591090166	80113.7354951	0.0
HepG2_PTBP1	ENCSR603TCV	88056	3251	1460	48	-0.167324303767	88315.9160276	0.0
K562_EFTUD2	ENCSR661HEL	77731	2693	1747	72	0.250465050031	76827.1887208	0.0
HepG2_SRSF3	ENCSR264TUE	85013	3049	1762	47	-0.427133940847	84481.244138	0.0
HepG2_DNAJC21	ENCSR305XWT	84089	2902	804	24	-0.209291526544	85342.8857675	0.0
HepG2_HNRNPD	ENCSR279HMU	84952	2998	762	23	-0.22550960708	86387.0114166	0.0
HepG2_PSIP1	ENCSR674KEK	88574	3152	772	18	-0.609988203317	90152.8314481	0.0
K562_HNRNPU	ENCSR898NWE	78397	2445	1310	61	0.578278318965	78123.4117496	0.0
